Kernel_version,ARCH,nb_options,Sumtotkernel
linux-4.5.1,cris,11013,
linux-4.5.1,microblaze,10735,
linux-4.5.1,hexagon,10670,
linux-4.5.1,tile,10806,
linux-4.5.1,frv,10792,
linux-4.5.1,alpha,10821,
linux-4.5.1,ia64,11041,
linux-4.5.1,sh,11127,
linux-4.5.1,mn10300,10853,
linux-4.5.1,um,10750,
linux-4.5.1,x86,11371,
linux-4.5.1,openrisc,10667,
linux-4.5.1,score,10668,
linux-4.5.1,xtensa,10816,
linux-4.5.1,m68k,10881,
linux-4.5.1,c6x,10669,
linux-4.5.1,arm64,11093,
linux-4.5.1,unicore32,10884,
linux-4.5.1,sparc,10919,
linux-4.5.1,powerpc,11467,
linux-4.6.1,blackfin,12038,345445
linux-4.6.1,nios2,10855,
linux-4.6.1,h8300,10825,
linux-4.6.1,parisc,10983,
linux-4.6.1,s390,11045,
linux-4.6.1,arm,12455,
linux-4.6.1,m32r,10966,
linux-4.6.1,mips,11703,
linux-4.6.1,metag,10907,
linux-4.6.1,arc,10989,
linux-4.6.1,avr32,11118,
linux-4.6.1,cris,11174,
linux-4.6.1,microblaze,10928,
linux-4.6.1,hexagon,10831,
linux-4.6.1,tile,10973,
linux-4.6.1,frv,10984,
linux-4.6.1,alpha,11013,
linux-4.6.1,ia64,11210,
linux-4.6.1,sh,11295,
linux-4.6.1,mn10300,11045,
linux-4.6.1,um,10911,
linux-4.6.1,x86,11542,
linux-4.6.1,openrisc,10828,
linux-4.6.1,score,10829,
linux-4.6.1,xtensa,10995,
linux-4.6.1,m68k,11071,
linux-4.6.1,c6x,10830,
linux-4.6.1,arm64,11277,
linux-4.6.1,unicore32,11076,
linux-4.6.1,sparc,11111,
linux-4.6.1,powerpc,11638,
linux-4.7.1,blackfin,12170,349418
linux-4.7.1,nios2,10978,
linux-4.7.1,h8300,10948,
linux-4.7.1,parisc,11109,
linux-4.7.1,s390,11172,
linux-4.7.1,arm,12596,
linux-4.7.1,m32r,11092,
linux-4.7.1,mips,11849,
linux-4.7.1,metag,11030,
linux-4.7.1,arc,11113,
linux-4.7.1,avr32,11247,
linux-4.7.1,cris,11300,
linux-4.7.1,microblaze,11054,
linux-4.7.1,hexagon,10954,
linux-4.7.1,tile,11100,
linux-4.7.1,frv,11110,
linux-4.7.1,alpha,11139,
linux-4.7.1,ia64,11342,
linux-4.7.1,sh,11424,
linux-4.7.1,mn10300,11171,
linux-4.7.1,um,11034,
linux-4.7.1,x86,11677,
linux-4.7.1,openrisc,10951,
linux-4.7.1,score,10952,
linux-4.7.1,xtensa,11121,
linux-4.7.1,m68k,11197,
linux-4.7.1,c6x,10953,
linux-4.7.1,arm64,11420,
linux-4.7.1,unicore32,11205,
linux-4.7.1,sparc,11240,
linux-4.7.1,powerpc,11770,
linux-4.8.1,blackfin,12335,354508
linux-4.8.1,nios2,11139,
linux-4.8.1,h8300,11109,
linux-4.8.1,parisc,11273,
linux-4.8.1,s390,11336,
linux-4.8.1,arm,12763,
linux-4.8.1,m32r,11256,
linux-4.8.1,mips,12011,
linux-4.8.1,metag,11191,
linux-4.8.1,arc,11277,
linux-4.8.1,avr32,11411,
linux-4.8.1,cris,11461,
linux-4.8.1,microblaze,11218,
linux-4.8.1,hexagon,11115,
linux-4.8.1,tile,11263,
linux-4.8.1,frv,11274,
linux-4.8.1,alpha,11303,
linux-4.8.1,ia64,11513,
linux-4.8.1,sh,11592,
linux-4.8.1,mn10300,11335,
linux-4.8.1,um,11195,
linux-4.8.1,x86,11850,
linux-4.8.1,openrisc,11112,
linux-4.8.1,score,11113,
linux-4.8.1,xtensa,11285,
linux-4.8.1,m68k,11361,
linux-4.8.1,c6x,11114,
linux-4.8.1,arm64,11592,
linux-4.8.1,unicore32,11369,
linux-4.8.1,sparc,11404,
linux-4.8.1,powerpc,11938,
linux-4.9.1,blackfin,12511,359916
linux-4.9.1,nios2,11310,
linux-4.9.1,h8300,11280,
linux-4.9.1,parisc,11447,
linux-4.9.1,s390,11510,
linux-4.9.1,arm,12934,
linux-4.9.1,m32r,11430,
linux-4.9.1,mips,12199,
linux-4.9.1,metag,11362,
linux-4.9.1,arc,11450,
linux-4.9.1,avr32,11585,
linux-4.9.1,cris,11632,
linux-4.9.1,microblaze,11392,
linux-4.9.1,hexagon,11286,
linux-4.9.1,tile,11437,
linux-4.9.1,frv,11448,
linux-4.9.1,alpha,11477,
linux-4.9.1,ia64,11692,
linux-4.9.1,sh,11767,
linux-4.9.1,mn10300,11509,
linux-4.9.1,um,11366,
linux-4.9.1,x86,12029,
linux-4.9.1,openrisc,11283,
linux-4.9.1,score,11284,
linux-4.9.1,xtensa,11465,
linux-4.9.1,m68k,11535,
linux-4.9.1,c6x,11285,
linux-4.9.1,arm64,11775,
linux-4.9.1,unicore32,11543,
linux-4.9.1,sparc,11581,
linux-4.9.1,powerpc,12112,
linux-4.10.1,blackfin,12698,365564
linux-4.10.1,nios2,11490,
linux-4.10.1,h8300,11460,
linux-4.10.1,parisc,11627,
linux-4.10.1,s390,11690,
linux-4.10.1,arm,13127,
