cid,date,time,vmlinux,GZIP-bzImage,GZIP-vmlinux,GZIP,BZIP2-bzImage,BZIP2-vmlinux,BZIP2,LZMA-bzImage,LZMA-vmlinux,LZMA,XZ-bzImage,XZ-vmlinux,XZ,LZO-bzImage,LZO-vmlinux,LZO,LZ4-bzImage,LZ4-vmlinux,LZ4,basic-cid,basic-date,basic-time,basic-vmlinux,basic-GZIP-bzImage,basic-GZIP-vmlinux,basic-GZIP,basic-BZIP2-bzImage,basic-BZIP2-vmlinux,basic-BZIP2,basic-LZMA-bzImage,basic-LZMA-vmlinux,basic-LZMA,basic-XZ-bzImage,basic-XZ-vmlinux,basic-XZ,basic-LZO-bzImage,basic-LZO-vmlinux,basic-LZO,basic-LZ4-bzImage,basic-LZ4-vmlinux,basic-LZ
70452,2018-06-29 22:56:53,341.064,34174176,9012688,11097552,8865667,12912080,14996392,8644119,7443920,9528272,7305862,7222736,9307512,7074488,9819600,11903864,9683212,10511824,12596400,10361727,70453,2018-06-29 23:06:45,340.266,34174176,9012688,11097552,8865358,12907984,14992296,8643637,7443920,9528272,7304023,7218640,9303416,7070008,9819600,11903864,9683188,10511824,12596400,10361679
70455,2018-06-29 23:26:45,283.064,74651232,13342160,15428424,13138811,17311184,19396896,12990322,10352080,12437824,10161054,8893904,10980080,8690580,15439312,17524968,15250075,16901584,18987560,16701018,70456,2018-06-29 23:36:24,280.019,74651232,13342160,15428424,13138813,17311184,19396896,12990588,10352080,12437824,10160173,8889808,10975984,8690120,15439312,17524968,15250077,16901584,18987560,16701019
70458,2018-06-30 00:06:24,661.784,547885256,41059792,43146064,40857659,45061584,47147296,40739116,29050320,31136064,28858249,28210640,30296816,28008312,50640336,52725992,50449366,56399312,58485288,56197150,70459,2018-06-30 00:26:45,654.771,547836816,41063888,43150160,40862015,45049296,47135008,40729220,29042128,31127872,28850981,28218832,30305008,28016340,50636240,52721896,50447624,56395216,58481192,56194156
70722,2018-07-02 13:55:43,438.911,56042376,14300624,16385488,14154284,17782224,19866536,13515402,11503056,13587408,11363785,10859984,12944760,10713280,15627728,17711992,15493621,16610768,18695344,16463965,70723,2018-07-02 14:08:22,451.369,56042376,14300624,16385488,14154285,17782224,19866536,13515387,11503056,13587408,11363970,10859984,12944760,10712312,15627728,17711992,15493620,16610768,18695344,16463966
70464,2018-06-30 01:18:27,227.202,19812376,5206992,7292368,5060909,9167824,11252648,4903218,4248528,6333392,4111866,3998672,6083960,3852076,5714896,7799672,5580081,6091728,8176816,5944040,70465,2018-06-30 01:26:12,227.168,19812376,5206992,7292368,5060913,9167824,11252648,4903137,4248528,6333392,4110118,3998672,6083960,3852860,5714896,7799672,5580080,6091728,8176816,5944041
70467,2018-06-30 01:46:49,429.544,25606368,7065552,9151952,6918183,10903504,12989352,6637280,5693392,7779280,5556264,5373904,7460216,5227816,7749584,9835384,7615374,8261584,10347696,8113903,70468,2018-06-30 01:58:20,429.662,25606368,7065552,9151952,6918183,10899408,12985256,6636353,5693392,7779280,5556865,5373904,7460216,5227456,7749584,9835384,7615372,8261584,10347696,8113904
70470,2018-06-30 02:16:38,167.848,37553160,6821328,8907472,6609382,10937808,13023400,6609137,5416400,7502032,5216343,4765136,6851192,4554720,7857616,9943160,7660156,8578512,10664368,8366661,70471,2018-06-30 02:23:08,167.377,37553160,6821328,8907472,6609756,10937808,13023400,6609296,5424592,7510224,5222694,4769232,6855288,4559036,7857616,9943160,7660072,8578512,10664368,8366805
70473,2018-06-30 02:52:31,464.379,239051152,28774352,30862032,28564293,33710032,35797160,29383169,20459472,22546640,20259384,18976720,21064312,18767932,36392912,38479992,36197419,40820688,42908080,40610747,70474,2018-06-30 03:06:38,458.434,239049840,28770256,30857936,28560222,33705936,35793064,29377888,20438992,22526160,20239514,18980816,21068408,18772684,36401104,38488184,36204034,40816592,42903984,40608748
70725,2018-07-02 14:28:51,525.127,29530760,8971728,11056248,8823564,12682704,14766672,8419617,7349712,9433712,7214314,5948880,8033312,5801316,9696720,11780632,9563801,10266064,12350296,10121417,70726,2018-07-02 14:42:04,536.322,29530760,8971728,11056248,8823564,12682704,14766672,8419674,7353808,9437808,7215362,5948880,8033312,5801552,9696720,11780632,9563798,10266064,12350296,10121414
70479,2018-06-30 03:56:26,395.444,51354168,9504208,11590312,9303577,13678032,15763584,9358494,7742928,9828512,7550397,6370768,8456784,6172460,10720720,12806216,10531870,11630032,13715848,11427638,70480,2018-06-30 04:08:15,396.049,51354168,9504208,11590312,9303001,13678032,15763584,9357825,7742928,9828512,7551561,6370768,8456784,6172172,10720720,12806216,10531593,11630032,13715848,11427639
70482,2018-06-30 04:26:18,506.209,32839480,5717968,7805816,5508842,9875408,11962704,5549300,4784080,6871408,4584595,4030416,6118168,3821768,6315984,8403224,6118871,6787024,8874584,6576422,70483,2018-06-30 04:39:05,509.046,32835832,5717968,7805816,5508980,9875408,11962704,5545935,4784080,6871408,4583694,4026320,6114072,3818724,6315984,8403224,6118110,6787024,8874584,6575808
70485,2018-06-30 05:01:43,332.385,236722872,10233296,12319608,10020373,14357968,16443728,10028368,8283600,10369392,8081523,7849424,9935640,7640552,11515344,13601048,11317625,12420560,14506584,12206698,70486,2018-06-30 05:12:35,329.086,236722872,10233296,12319608,10020486,14357968,16443728,10028521,8283600,10369392,8080194,7845328,9931544,7636800,11515344,13601048,11317623,12420560,14506584,12206696
