cid,date,time,vmlinux,GZIP-bzImage,GZIP-vmlinux,GZIP,BZIP2-bzImage,BZIP2-vmlinux,BZIP2,LZMA-bzImage,LZMA-vmlinux,LZMA,XZ-bzImage,XZ-vmlinux,XZ,LZO-bzImage,LZO-vmlinux,LZO,LZ4-bzImage,LZ4-vmlinux,LZ4,basic-cid,basic-date,basic-time,basic-vmlinux,basic-GZIP-bzImage,basic-GZIP-vmlinux,basic-GZIP,basic-BZIP2-bzImage,basic-BZIP2-vmlinux,basic-BZIP2,basic-LZMA-bzImage,basic-LZMA-vmlinux,basic-LZMA,basic-XZ-bzImage,basic-XZ-vmlinux,basic-XZ,basic-LZO-bzImage,basic-LZO-vmlinux,basic-LZO,basic-LZ4-bzImage,basic-LZ4-vmlinux,basic-LZ
70602,2018-07-01 01:15:52,295.521,263254432,9614288,11699664,9466457,13382608,15467432,9116498,7881680,9966544,7742974,7332816,9418104,7186188,10515408,12600184,10379273,11174864,13259952,11026018,70603,2018-07-01 01:26:33,295.346,263254112,9614288,11699664,9466508,13382608,15467432,9115917,7873488,9958352,7738095,7332816,9418104,7187336,10515408,12600184,10379058,11174864,13259952,11025783
70605,2018-07-01 01:43:50,242.506,42947584,10315216,12400080,10168541,13784528,15868840,9519625,8193488,10277840,8056198,6931920,9016696,6785740,11318736,13403000,11181757,12084688,14169264,11936199,70606,2018-07-01 01:51:55,240.661,42947584,10315216,12400080,10168542,13784528,15868840,9520017,8193488,10277840,8056453,6931920,9016696,6785752,11318736,13403000,11181755,12084688,14169264,11936199
70608,2018-07-01 02:12:21,358.239,30006920,8405456,10491352,8257105,12263888,14349224,7998160,6922704,9008080,6785085,5829072,7914872,5682096,9109968,11195256,8974528,9667024,11752624,9520551,70609,2018-07-01 02:22:15,358.285,30006920,8405456,10491352,8257056,12263888,14349224,7998272,6922704,9008080,6784555,5829072,7914872,5682460,9109968,11195256,8974511,9667024,11752624,9520485
70611,2018-07-01 02:41:43,457.752,29809856,7066896,9154096,6899412,10827024,12913672,6543810,5629200,7715880,5472452,4949264,7036376,4784688,7791888,9878480,7638994,8344848,10431760,8179066,70612,2018-07-01 02:53:59,458.552,29809856,7066896,9154096,6899412,10827024,12913672,6543886,5629200,7715880,5474849,4949264,7036376,4782152,7791888,9878480,7638991,8344848,10431760,8179064
70719,2018-07-02 12:24:24,562.852,51528288,8291600,10380592,8059476,12432656,14521096,8082962,6599952,8688424,6379475,5276944,7365848,5045096,9610512,11698896,9388720,10552592,12641296,10319564,70720,2018-07-02 12:37:38,559.721,51528288,8291600,10380592,8059475,12432656,14521096,8083025,6599952,8688424,6379131,5281040,7369944,5050516,9610512,11698896,9388719,10552592,12641296,10319563
70617,2018-07-01 03:39:54,263.654,41195144,8652240,10736760,8505037,12379600,14463568,8116359,7062992,9146992,6928651,6653392,8737824,6510340,9446864,11530776,9314358,10028496,12112728,9882695,70618,2018-07-01 03:48:37,262.306,41195144,8652240,10736760,8505036,12379600,14463568,8116366,7062992,9146992,6929126,6653392,8737824,6510056,9446864,11530776,9314358,10028496,12112728,9882743
70620,2018-07-01 04:15:25,685.267,19635184,4838352,6923384,4694191,8868816,10953296,4604514,3953616,6038128,3818513,3761104,5846048,3616112,5309392,7393816,5175424,5669840,7754584,5525638,70621,2018-07-01 04:31:02,685.79,19635184,4838352,6923384,4694192,8868816,10953296,4604197,3953616,6038128,3818471,3757008,5841952,3615056,5309392,7393816,5175415,5669840,7754584,5525637
70623,2018-07-01 04:47:55,196.058,30533008,6782928,8868984,6640306,10674128,12759632,6412271,5398480,7484016,5265483,5029840,7115808,4887272,7495632,9581080,7362056,8003536,10089304,7857423,70624,2018-07-01 04:55:09,195.013,30533008,6782928,8868984,6640306,10674128,12759632,6412364,5398480,7484016,5265778,5029840,7115808,4886376,7495632,9581080,7362056,8003536,10089304,7857423
70626,2018-07-01 05:19:38,409.029,32680456,5882832,7969448,5681263,9958352,12044416,5638427,4821968,6908064,4629743,3986384,6072912,3787688,6554576,8640584,6366298,7062480,9148808,6860636,70627,2018-07-01 05:31:04,413.523,32680456,5882832,7969448,5681263,9958352,12044416,5638571,4821968,6908064,4629219,3990480,6077008,3790776,6554576,8640584,6366299,7062480,9148808,6860616
70629,2018-07-01 05:49:37,268.363,128257880,4051408,6136952,3904429,8069584,10154576,3805824,3346896,5431920,3212225,3219920,5305376,3076340,4424144,6509080,4291104,4706768,6792024,4561107,70630,2018-07-01 05:58:43,268.649,128257880,4051408,6136952,3904429,8069584,10154576,3805887,3346896,5431920,3212242,3219920,5305376,3076836,4424144,6509080,4291108,4706768,6792024,4561110
70632,2018-07-01 06:23:58,363.733,35885528,8557008,10642896,8410218,12108240,14193576,7840741,6906320,8991696,6768212,5992912,8078712,5846324,9363920,11449208,9229060,9961936,12047536,9815470,70633,2018-07-01 06:34:44,363.553,35885528,8557008,10642896,8410222,12108240,14193576,7840899,6906320,8991696,6767969,5992912,8078712,5847120,9363920,11449208,9229056,9961936,12047536,9815470
70635,2018-07-01 06:53:59,392.671,50388088,10638288,12723320,10493215,14058448,16142928,9795750,8209360,10293872,8073284,6771664,8856608,6624620,11776976,13861400,11642388,12514256,14599000,12368732,70636,2018-07-01 07:05:15,393.027,50388088,10638288,12723320,10493354,14058448,16142928,9796021,8205264,10289776,8070716,6767568,8852512,6624280,11776976,13861400,11642290,12514256,14599000,12368876
70638,2018-07-01 07:24:44,300.174,38688296,10524112,12608632,10376624,14157264,16241232,9892044,8529360,10613360,8392447,7861712,9946144,7715316,11478480,13562392,11345563,12195280,14279512,12048146,70639,2018-07-01 07:34:17,299.004,38688296,10524112,12608632,10376624,14157264,16241232,9892118,8525264,10609264,8390557,7861712,9946144,7717680,11478480,13562392,11345561,12195280,14279512,12048144
70641,2018-07-01 08:05:03,763.191,28263672,7259088,9344464,7111944,10847184,12932008,6581909,5784528,7869392,5649181,5436368,7521656,5290804,7955408,10040184,7819142,8438736,10523824,8292899,70642,2018-07-01 08:27:42,761.565,28263672,7259088,9344464,7111949,10847184,12932008,6581343,5784528,7869392,5647944,5436368,7521656,5291184,7955408,10040184,7819135,8438736,10523824,8292878
70644,2018-07-01 08:45:45,289.795,281866936,12088272,14173648,11939562,15381456,17466280,11113885,9585616,11670480,9449064,8098768,10184056,7951704,13202384,15287160,13065407,14099408,16184496,13952442,70645,2018-07-01 08:55:17,291.288,281866936,12088272,14173648,11939567,15381456,17466280,11113741,9585616,11670480,9448861,8098768,10184056,7952884,13202384,15287160,13065407,14099408,16184496,13952442
70647,2018-07-01 09:17:24,296.731,23317520,5759952,7845328,5611663,9769936,11854760,5505918,4735952,6820816,4600510,3965904,6051192,3818620,6329296,8414072,6192549,6783952,8869040,6635719,70648,2018-07-01 09:26:13,301.908,23317520,5759952,7845328,5611662,9769936,11854760,5505721,4740048,6824912,4601676,3961808,6047096,3816944,6329296,8414072,6192548,6783952,8869040,6635719
70650,2018-07-01 09:41:06,204.658,59878344,10346448,12434248,10146028,14487504,16574752,10168190,8138704,10225984,7946636,6430672,8518384,6229692,11931600,14018792,11743971,13066192,15153704,12865899,70651,2018-07-01 09:48:52,208.018,59878344,10346448,12434248,10146025,14487504,16574752,10168151,8146896,10234176,7954216,6426576,8514288,6226640,11931600,14018792,11743971,13066192,15153704,12864714
70653,2018-07-01 10:10:51,250.435,21897032,4772816,6858192,4626548,8713168,10797992,4448158,3871696,5956560,3732370,3077072,5162360,2929848,5219280,7304056,5085492,5592016,7677104,5443353,70654,2018-07-01 10:18:35,250.084,21897032,4772816,6858192,4626548,8713168,10797992,4448068,3867600,5952464,3731228,3077072,5162360,2929200,5219280,7304056,5085494,5592016,7677104,5443353
70656,2018-07-01 10:33:12,266.342,41499920,7910352,9996968,7710677,11973584,14059648,7656085,6382544,8468640,6193484,5948368,8034896,5750428,8893392,10979400,8706433,9585616,11671944,9383407,70657,2018-07-01 10:41:25,266.501,41499920,7910352,9996968,7710677,11973584,14059648,7655983,6378448,8464544,6188711,5948368,8034896,5748008,8893392,10979400,8706433,9585616,11671944,9383407
70659,2018-07-01 11:07:55,569.711,37710296,9068816,11157392,8900335,12648720,14736744,8361511,7209232,9297288,7053047,6197520,8286000,6030664,9990416,12078384,9834481,10682640,12770928,10515624,70660,2018-07-01 11:22:33,567.096,37710296,9068816,11157392,8900332,12648720,14736744,8361456,7209232,9297288,7052573,6197520,8286000,6029208,9990416,12078384,9834480,10682640,12770928,10515622
70662,2018-07-01 11:47:55,343.456,35964488,9777104,11863160,9631188,13873104,15958608,9610739,7749584,9835120,7615997,6848464,8934432,6706320,10870736,12956184,10737793,11784144,13869912,11638265,70663,2018-07-01 11:57:52,341.948,35964488,9777104,11863160,9630751,13873104,15958608,9610538,7749584,9835120,7615604,6848464,8934432,6707268,10870736,12956184,10737819,11784144,13869912,11638286
70712,2018-07-02 11:29:43,303.094,20377240,4448208,6534616,4303656,8429520,10515368,4163155,3633104,5718992,3497156,3444688,5531000,3298948,4906960,6992760,4772852,5234640,7320752,5089776,70714,2018-07-02 11:40:06,284.615,20377240,4448208,6534616,4303655,8425424,10511272,4163052,3633104,5718992,3497198,3444688,5531000,3299364,4906960,6992760,4772852,5234640,7320752,5089776
70668,2018-07-01 13:01:55,474.309,60663376,14574032,16659920,14426272,18112976,20198312,13849182,11784656,13870032,11649918,11166160,13251960,11019972,15892944,17978232,15757376,16855504,18941104,16710075,70669,2018-07-01 13:15:03,469.213,60663376,14574032,16659920,14426269,18112976,20198312,13849168,11784656,13870032,11649221,11157968,13243768,11013392,15892944,17978232,15757376,16855504,18941104,16710075
70671,2018-07-01 13:38:43,500.729,97490960,9647376,11734576,9481964,13493520,15580168,9210271,7861520,9948200,7706538,6391056,8478168,6227624,10593552,12680144,10441221,11355408,13442320,11187380,70672,2018-07-01 13:51:28,499.241,97490960,9647376,11734576,9481965,13493520,15580168,9210127,7861520,9948200,7704906,6395152,8482264,6230304,10593552,12680144,10441221,11355408,13442320,11187380
70674,2018-07-01 14:07:52,242.933,61647192,10686928,12774216,10485238,14836176,16922912,10516879,8344016,10430784,8154404,7266768,9353968,7066836,12505552,14592232,12317786,13754832,15841832,13555426,70675,2018-07-01 14:16:19,240.524,61647192,10686928,12774216,10486036,14836176,16922912,10516920,8344016,10430784,8151871,7262672,9349872,7064212,12505552,14592232,12317683,13754832,15841832,13555284
70677,2018-07-01 14:34:24,335.987,21985624,5293008,7378040,5146571,9245648,11330128,4980501,4281296,6365808,4146440,4039632,6124576,3894840,5813200,7897624,5678507,6190032,8274776,6045853,70678,2018-07-01 14:44:02,335.931,21985624,5293008,7378040,5146577,9245648,11330128,4980411,4281296,6365808,4147860,4039632,6124576,3893904,5813200,7897624,5678509,6190032,8274776,6045851
70680,2018-07-01 15:05:10,313.811,38380760,11228624,13313496,11080471,14931408,17015720,10664206,9074128,11158480,8935205,8345040,10429816,8198508,12297680,14381944,12162686,13088208,15172784,12940487,70681,2018-07-01 15:15:05,316.632,38380760,11228624,13313496,11080471,14931408,17015720,10664187,9070032,11154384,8933360,8349136,10433912,8201884,12297680,14381944,12162678,13088208,15172784,12940480
70683,2018-07-01 15:35:48,569.006,74691352,8889296,10974328,8743801,12874704,14959184,8611996,7087056,9171568,6952113,6222800,8307744,6079196,9847760,11932184,9712443,10654672,12739416,10509784,70684,2018-07-01 15:49:48,568.343,74687888,8889296,10974328,8743154,12878800,14963280,8612536,7087056,9171568,6951130,6226896,8311840,6081520,9847760,11932184,9711928,10654672,12739416,10508659
70686,2018-07-01 16:12:22,449.384,58677128,5284304,7370200,5136907,9200080,11285416,4934130,4334032,6419408,4199474,4116944,6202744,3972248,5759440,7844728,5626032,6099408,8185008,5952433,70687,2018-07-01 16:23:26,445.333,58677128,5284304,7370200,5136908,9200080,11285416,4934177,4338128,6423504,4199817,4116944,6202744,3971676,5759440,7844728,5626032,6099408,8185008,5952433
70689,2018-07-01 16:40:06,392.19,33394208,7362000,9446864,7215211,11163088,13247400,6896153,6125008,8209360,5987099,5027280,7112056,4879244,7984592,10068856,7850454,8504784,10589360,8355337,70690,2018-07-01 16:50:36,393.213,33394208,7362000,9446864,7215204,11163088,13247400,6896004,6125008,8209360,5986651,5027280,7112056,4879080,7984592,10068856,7850453,8504784,10589360,8355336
70692,2018-07-01 17:18:37,791.022,36425736,9996048,12083080,9826383,13428496,15514984,9140148,8009488,10096008,7852065,6899472,8986416,6730224,10938128,13024560,10782126,11683600,13770352,11513438,70693,2018-07-01 17:36:25,794.335,36425736,9996048,12083080,9826384,13428496,15514984,9140134,8009488,10096008,7851554,6895376,8982320,6727524,10938128,13024560,10782100,11683600,13770352,11513381
70695,2018-07-01 17:56:45,167.917,35210520,7599568,9684432,7451883,11204048,13288360,6939457,6075856,8160208,5939023,5314000,7398776,5167484,8328656,10412920,8191597,8857040,10941616,8711407,70696,2018-07-01 18:03:42,171.176,35210520,7599568,9684432,7451865,11204048,13288360,6939461,6075856,8160208,5939016,5314000,7398776,5166332,8328656,10412920,8191592,8857040,10941616,8711403
70698,2018-07-01 18:21:10,308.337,32069416,7652304,9737680,7502724,11686864,13771688,7422233,6079440,8164304,5942099,5907408,7992696,5760772,8504272,10589048,8370530,9233360,11318448,9084260,70699,2018-07-01 18:31:05,308.873,32069416,7652304,9737680,7502768,11686864,13771688,7422616,6083536,8168400,5946079,5907408,7992696,5761856,8504272,10589048,8370572,9233360,11318448,9084299
70701,2018-07-01 18:46:55,295.78,32993296,10773968,12858832,10626611,14501328,16585640,10234972,8787408,10871760,8649806,7124432,9209208,6979000,11720144,13804408,11584869,12436944,14521520,12289115,70702,2018-07-01 18:55:51,294.642,32993296,10773968,12858832,10626607,14501328,16585640,10234972,8787408,10871760,8649280,7124432,9209208,6977596,11720144,13804408,11584868,12436944,14521520,12289115
70704,2018-07-01 19:16:19,459.071,88381808,23717328,25801848,23569529,26117584,28201552,21854504,18802128,20886128,18664738,17192400,19276832,17047496,25826768,27910680,25694077,27440592,29524824,27294618,70705,2018-07-01 19:30:05,455.685,88377800,23721424,25805944,23573213,26125776,28209744,21861907,18802128,20886128,18668025,17192400,19276832,17047908,25834960,27918872,25699037,27448784,29533016,27299976
70707,2018-07-01 19:47:19,323.387,117018256,9900496,11986040,9754818,13820368,15905360,9556219,8049104,10134128,7915099,7459280,9544736,7315332,10883536,12968472,10752094,11620816,13706072,11476797,70708,2018-07-01 19:57:11,322.47,117018904,9904592,11990136,9757450,13820368,15905360,9555778,8053200,10138224,7917013,7459280,9544736,7315504,10887632,12972568,10753552,11624912,13710168,11478344
71838,2018-07-03 11:19:59,272.97,25812608,5853136,7939192,5706683,9654224,11739728,5389777,4657104,6742640,4523156,4005840,6091808,3863296,6447056,8532504,6316906,6918096,9003864,6776051,71848,2018-07-03 11:27:53,221.901,25812608,5853136,7939192,5706682,9650128,11735632,5389091,4657104,6742640,4523291,4001744,6087712,3859012,6447056,8532504,6316906,6918096,9003864,6776051
71947,2018-07-03 14:47:51,425.533,62683752,6524880,8610936,6378575,10252240,12337744,5988583,5263312,7348848,5131178,4566992,6652960,4423340,7139280,9224728,7006988,7610320,9696088,7467170,71948,2018-07-03 14:58:54,423.02,62683752,6524880,8610936,6378574,10252240,12337744,5988518,5267408,7352944,5132212,4562896,6648864,4422060,7139280,9224728,7006987,7610320,9696088,7467169
71964,2018-07-03 17:00:56,427.294,147504080,20009424,22094968,19862973,23769552,25854544,19507986,15253968,17338992,15119430,14799312,16884768,14653836,22196688,24281624,22065671,24232400,26317656,24087425,71980,2018-07-03 17:13:31,417.87,147504080,20009424,22094968,19862612,23769552,25854544,19507872,15258064,17343088,15121847,14803408,16888864,14660556,22196688,24281624,22065779,24232400,26317656,24087531
71992,2018-07-03 17:25:11,112.47,21108528,4109264,6196088,3896581,8287184,10373456,3957958,3392464,5478768,3192029,3236816,5323552,3028152,4608976,6695192,4412135,4977616,7064152,4764948,71999,2018-07-03 17:30:16,117.788,21108528,4109264,6196088,3896580,8287184,10373456,3957981,3392464,5478768,3190888,3232720,5319456,3021828,4608976,6695192,4412135,4977616,7064152,4764948
72018,2018-07-03 17:48:51,336.148,34325536,9917392,12002424,9770968,13550544,15635024,9288218,7971792,10056304,7835906,6054864,8139808,5910700,10863568,12947992,10732653,11674576,13759320,11530258,72025,2018-07-03 17:59:21,341.961,34325536,9917392,12002424,9770969,13550544,15635024,9288236,7971792,10056304,7836914,6054864,8139808,5911124,10863568,12947992,10732655,11674576,13759320,11530261
72048,2018-07-03 18:18:48,263.033,29194672,8127952,10212472,7981108,11986384,14070352,7723029,6657488,8741488,6523174,6288848,8373280,6146136,8889808,10973720,8756572,9446864,11531096,9301987,72056,2018-07-03 18:27:17,261.443,29194672,8127952,10212472,7981109,11986384,14070352,7723042,6657488,8741488,6522887,6288848,8373280,6146212,8889808,10973720,8756592,9446864,11531096,9301995
72078,2018-07-03 18:46:09,244.195,23808552,5137872,7222744,4991046,9197008,11281320,4933045,4236752,6321104,4099149,3474896,5559672,3327264,5641680,7725944,5507736,6059472,8144048,5910301,72088,2018-07-03 18:54:09,249.577,23808552,5137872,7222744,4991041,9197008,11281320,4933009,4236752,6321104,4099247,3474896,5559672,3327260,5641680,7725944,5507734,6059472,8144048,5910300
72118,2018-07-03 19:22:27,603.189,77371504,5404432,7491120,5234932,9381648,11467784,5095571,4478736,6564904,4320746,4241168,6327768,4073004,5945104,8031184,5791158,6334224,8420624,6167213,72133,2018-07-03 19:36:36,591.96,77367496,5400336,7487024,5233762,9381648,11467784,5095818,4478736,6564904,4320818,4237072,6323672,4072440,5945104,8031184,5791298,6334224,8420624,6166741
72152,2018-07-03 19:56:14,512.312,171305464,16200144,18286032,16052875,19722704,21808040,15458274,13197776,15283152,13061573,11313616,13399416,11166672,17658320,19743608,17522956,18743760,20829360,18598839,72167,2018-07-03 20:09:27,514.782,171305360,16196048,18281936,16050605,19722704,21808040,15458060,13197776,15283152,13062466,11321808,13407608,11175180,17658320,19743608,17522825,18743760,20829360,18599039
72188,2018-07-03 20:30:42,429.376,402357016,11715024,13800912,11568092,15409616,17494952,11143571,9474512,11559888,9336580,8950224,11036024,8804612,12816848,14902136,12680810,13599184,15684784,13452534,72200,2018-07-03 20:45:16,434.767,402355936,11710928,13796816,11563719,15401424,17486760,11135278,9470416,11555792,9333128,8946128,11031928,8801992,12812752,14898040,12677382,13599184,15684784,13450727
72248,2018-07-03 21:35:04,148.239,41223680,4764624,6849656,4619823,8778704,10863184,4513565,3929040,6013552,3794793,3752912,5837856,3607604,5223376,7307800,5088095,5546960,7631704,5400735,72255,2018-07-03 21:40:54,148.198,41223680,4764624,6849656,4619823,8778704,10863184,4513606,3929040,6013552,3794758,3748816,5833760,3603352,5223376,7307800,5088095,5546960,7631704,5400735
72272,2018-07-03 21:58:21,310.072,45792832,7638992,9725056,7493284,11296720,13382224,7031549,6082512,8168048,5948515,5222352,7308320,5076572,8400848,10486296,8266196,8933328,11019096,8788075,72281,2018-07-03 22:07:24,311.135,45792832,7638992,9725056,7493283,11296720,13382224,7031588,6086608,8172144,5949706,5222352,7308320,5076376,8400848,10486296,8266197,8933328,11019096,8788075
72296,2018-07-03 22:22:47,180.258,35699648,6734288,8821576,6532462,10953168,13039904,6633944,5452240,7539008,5260528,5181904,7269104,4981248,7664080,9750760,7474650,8327632,10414632,8127363,72303,2018-07-03 22:29:38,180.502,35699648,6734288,8821576,6532466,10953168,13039904,6635073,5448144,7534912,5258646,5181904,7269104,4979596,7664080,9750760,7474652,8327632,10414632,8127363
72332,2018-07-03 22:54:51,684.479,158551648,20214736,22300120,20067446,22643664,24728488,18377264,15156176,17241040,15018442,13509584,15594872,13363940,22463440,24548216,22326863,24073168,26158256,23924510,72351,2018-07-03 23:11:46,684.647,158549864,20210640,22296024,20063842,22639568,24724392,18375330,15156176,17241040,15020371,13517776,15603064,13370172,22463440,24548216,22328216,24073168,26158256,23924097
72375,2018-07-03 23:30:49,235.482,87749576,13645264,15731528,13443548,17614288,19700000,13293602,10286544,12372288,10092464,9074128,11160304,8872728,16557520,18643176,16365624,18421200,20507176,18217525,72383,2018-07-03 23:39:37,232.446,87749576,13645264,15731528,13443547,17614288,19700000,13293541,10290640,12376384,10099751,9053648,11139824,8853652,16557520,18643176,16365665,18421200,20507176,18217583
72405,2018-07-03 23:59:31,223.051,95643456,3921360,6007624,3718827,8021456,10107168,3703055,3216848,5302592,3025736,3077584,5163760,2877592,4412880,6498536,4222097,4761040,6847016,4558790,72415,2018-07-04 00:07:20,228.218,95643456,3921360,6007624,3718826,8021456,10107168,3703057,3216848,5302592,3025784,3077584,5163760,2877592,4412880,6498536,4222097,4761040,6847016,4558789
73158,2018-07-04 12:12:42,613.375,44066496,8319952,10406776,8107667,12444624,14530896,8113954,6759376,8845680,6558248,5526480,7613216,5317204,9380816,11467032,9182113,10171344,12257880,9959677,73172,2018-07-04 12:27:01,591.644,44066496,8319952,10406776,8107684,12444624,14530896,8114095,6759376,8845680,6558291,5526480,7613216,5317040,9380816,11467032,9182113,10171344,12257880,9959677
72458,2018-07-04 00:54:33,169.754,19710248,4501456,6587512,4354682,8372176,10457680,4109911,3661776,5747312,3525761,3219408,5305376,3074424,4935632,7021080,4804090,5267408,7353176,5123938,72468,2018-07-04 01:01:16,170.168,19710248,4501456,6587512,4354418,8372176,10457680,4108860,3661776,5747312,3525759,3215312,5301280,3073024,4935632,7021080,4803983,5267408,7353176,5124008
72495,2018-07-04 01:28:48,376.689,349815656,10474448,12559480,10329884,14279632,16364112,10015428,8479696,10564208,8343943,7873488,9958432,7729092,11457488,13541912,11322467,12194768,14279512,12049054,72511,2018-07-04 01:41:32,376.601,349815544,10478544,12563576,10330903,14283728,16368208,10018508,8483792,10568304,8350012,7873488,9958432,7730632,11457488,13541912,11322898,12198864,14283608,12050706
72529,2018-07-04 01:59:09,219.714,40572568,3871696,5956728,3724064,7893968,9978448,3631179,3212240,5296752,3075610,2728912,4813856,2584292,4232144,6316568,4098019,4482000,6566744,4338066,72537,2018-07-04 02:06:09,220.432,40572128,3871696,5956728,3725185,7893968,9978448,3632079,3212240,5296752,3077019,2728912,4813856,2582756,4232144,6316568,4098001,4482000,6566744,4338489
72560,2018-07-04 02:31:02,565.168,142745056,8360912,10447528,8158671,12370896,14456960,8050656,6849488,8935584,6658370,5710800,7797328,5512268,9323472,11409480,9133119,10019792,12106120,9819962,72574,2018-07-04 02:45:25,563.952,142744704,8360912,10447528,8158429,12366800,14452864,8049953,6849488,8935584,6657740,5710800,7797328,5512328,9323472,11409480,9133255,10019792,12106120,9819812
72603,2018-07-04 03:11:15,840.585,57269968,10571728,12659576,10361675,14548944,16636240,10220530,8339408,10426736,8137891,7208912,9296672,6998732,12185552,14272792,11988164,13307856,15395416,13096690,72622,2018-07-04 03:29:59,837.467,57269968,10571728,12659576,10361676,14548944,16636240,10220432,8339408,10426736,8140735,7208912,9296672,7000488,12185552,14272792,11988164,13307856,15395416,13096723
72653,2018-07-04 03:57:05,414.125,66023888,19002320,21087352,18857820,22008784,24093264,17746841,14902224,16986736,14766844,13206480,15291424,13063788,20931536,23015960,20797078,22414288,24499032,22268547,72663,2018-07-04 04:09:46,407.654,66023888,19002320,21087352,18857818,22008784,24093264,17746799,14910416,16994928,14774120,13210576,15295520,13065408,20931536,23015960,20797029,22414288,24499032,22268492
72685,2018-07-04 04:30:25,378.875,59453520,13914576,16000464,13766588,17555920,19641256,13292430,10535376,12620752,10399728,9322960,11408760,9176980,15372752,17458040,15236014,16785872,18871472,16637450,72697,2018-07-04 04:42:05,378.933,59453472,13914576,16000464,13765865,17555920,19641256,13292275,10535376,12620752,10397430,9318864,11404664,9173816,15368656,17453944,15234073,16785872,18871472,16637361
72714,2018-07-04 05:02:19,358.181,16794640,3843536,5928400,3694184,7874000,9958312,3608442,3171792,5256144,3034368,3036624,5121400,2888548,4220368,6304632,4082963,4511184,6595760,4362796,72725,2018-07-04 05:12:01,358.705,16794640,3843536,5928400,3694187,7874000,9958312,3608473,3171792,5256144,3033494,3036624,5121400,2887884,4220368,6304632,4082963,4511184,6595760,4362796
72753,2018-07-04 05:39:32,332.135,43701104,11653072,13739128,11507164,15200208,17285712,10936986,9334736,11420272,9203000,8855504,10941472,8711968,12840912,14926360,12710655,13676496,15762264,13530771,72764,2018-07-04 05:49:06,328.273,43701104,11653072,13739128,11507179,15200208,17285712,10937035,9338832,11424368,9204963,8855504,10941472,8711820,12840912,14926360,12710656,13676496,15762264,13530771
72784,2018-07-04 06:13:56,447.156,147525664,19624912,21710288,19477710,23397328,25482152,19131535,14939088,17023952,14802970,14361552,16446840,14216596,21779408,23864184,21642284,23684048,25769136,23536837,72799,2018-07-04 06:28:03,438.88,147525664,19624912,21710288,19477735,23397328,25482152,19131055,14934992,17019856,14797027,14365648,16450936,14218288,21779408,23864184,21642378,23684048,25769136,23536877
72820,2018-07-04 06:47:02,259.769,44620096,12473296,14558672,12324398,15762384,17847208,11497363,9905104,11989968,9769265,8496080,10581368,8348652,13702096,15786872,13564780,14615504,16700592,14466074,72830,2018-07-04 06:55:38,255.781,44620096,12473296,14558672,12324399,15762384,17847208,11497217,9913296,11998160,9774412,8491984,10577272,8344560,13702096,15786872,13564780,14615504,16700592,14466074
72860,2018-07-04 07:27:35,1001.68,56889856,11136976,13224832,10924409,15204304,17291600,10876790,9068496,11155824,8867980,7344080,9431840,7134780,12459984,14547224,12263009,13434832,15522392,13225212,72884,2018-07-04 07:49:46,1000.43,56889856,11136976,13224832,10924399,15204304,17291600,10876813,9068496,11155824,8868864,7344080,9431840,7134984,12459984,14547224,12263161,13434832,15522392,13225174
72909,2018-07-04 08:13:13,373.765,35018640,9773008,11859408,9624735,13336528,15422376,9071366,7966672,10052560,7829346,6168528,8254840,6021660,10600400,12686200,10467159,11296720,13382832,11148125,72921,2018-07-04 08:23:29,372.789,35018640,9773008,11859408,9624622,13336528,15422376,9072024,7962576,10048464,7828458,6168528,8254840,6022056,10600400,12686200,10467220,11296720,13382832,11148078
72947,2018-07-04 08:46:31,480.925,168844656,15381968,17466488,15235562,18748880,20832848,14486090,12498384,14582384,12364605,11896272,13980704,11752720,16758224,18842136,16625670,17778128,19862360,17632427,72964,2018-07-04 09:01:15,550.691,168844656,15381968,17466488,15235564,18748880,20832848,14486030,12502480,14586480,12365500,11896272,13980704,11752688,16758224,18842136,16625670,17778128,19862360,17632427
72999,2018-07-04 09:32:08,714.035,78298104,6506032,8592264,6341355,10430000,12515680,6150831,5363248,7448960,5211505,5056048,7142192,4896296,7120432,9206056,6970419,7587376,9673320,7423207,73012,2018-07-04 09:48:10,706.983,78298744,6501936,8588168,6339853,10430000,12515680,6150158,5363248,7448960,5210355,5056048,7142192,4894544,7120432,9206056,6968940,7583280,9669224,7421245
73243,2018-07-04 16:23:45,324.085,83106256,13877712,15965000,13674065,17961424,20048160,13641907,10756560,12843328,10564254,9269712,11356912,9069336,16306640,18393320,16118969,17969616,20056616,17767840,73244,2018-07-04 16:34:07,320.591,83106256,13877712,15965000,13674066,17961424,20048160,13641890,10756560,12843328,10563951,9273808,11361008,9071500,16306640,18393320,16118966,17969616,20056616,17767839
74279,2018-07-05 11:47:31,465.113,30140712,6120912,8207224,5910854,10208720,12294480,5878662,5047760,7133552,4846673,4797904,6884120,4588464,6845904,8931608,6645098,7374288,9460312,7163327,74289,2018-07-05 11:59:42,460.222,30140712,6125008,8211320,5910861,10208720,12294480,5878718,5047760,7133552,4847959,4797904,6884120,4588880,6845904,8931608,6645100,7374288,9460312,7163326
